Graph NumThread Time
graphs/coPapersDBLP.mtx 1 0.0367244
graphs/coPapersDBLP.mtx 2 0.027227
graphs/coPapersDBLP.mtx 4 0.0225047
graphs/coPapersDBLP.mtx 8 0.0141673
graphs/coPapersDBLP.mtx 16 0.010573
graphs/coPapersDBLP.mtx 1 0.0363217
graphs/coPapersDBLP.mtx 2 0.0268877
graphs/coPapersDBLP.mtx 4 0.0182659
graphs/coPapersDBLP.mtx 8 0.0128674
graphs/coPapersDBLP.mtx 16 0.0105491
graphs/coPapersDBLP.mtx 1 0.0364857
graphs/coPapersDBLP.mtx 2 0.0268563
graphs/coPapersDBLP.mtx 4 0.0196327
graphs/coPapersDBLP.mtx 8 0.0153659
graphs/coPapersDBLP.mtx 16 0.00968319
graphs/coPapersDBLP.mtx 1 0.0362701
graphs/coPapersDBLP.mtx 2 0.0272049
graphs/coPapersDBLP.mtx 4 0.0182268
graphs/coPapersDBLP.mtx 8 0.0142252
graphs/coPapersDBLP.mtx 16 0.0101374
graphs/coPapersDBLP.mtx 1 0.0363348
graphs/coPapersDBLP.mtx 2 0.0268911
graphs/coPapersDBLP.mtx 4 0.0238993
graphs/coPapersDBLP.mtx 8 0.0160109
graphs/coPapersDBLP.mtx 16 0.010444
graphs/coPapersDBLP.mtx 1 0.0363132
graphs/coPapersDBLP.mtx 2 0.0260611
graphs/coPapersDBLP.mtx 4 0.0194858
graphs/coPapersDBLP.mtx 8 0.0126602
graphs/coPapersDBLP.mtx 16 0.00991849
graphs/coPapersDBLP.mtx 1 0.0362913
graphs/coPapersDBLP.mtx 2 0.0270001
graphs/coPapersDBLP.mtx 4 0.0187419
graphs/coPapersDBLP.mtx 8 0.011797
graphs/coPapersDBLP.mtx 16 0.00974896
graphs/coPapersDBLP.mtx 1 0.0362385
graphs/coPapersDBLP.mtx 2 0.0268764
graphs/coPapersDBLP.mtx 4 0.0182576
graphs/coPapersDBLP.mtx 8 0.0134154
graphs/coPapersDBLP.mtx 16 0.00981494
graphs/coPapersDBLP.mtx 1 0.0368498
graphs/coPapersDBLP.mtx 2 0.0268969
graphs/coPapersDBLP.mtx 4 0.0181347
graphs/coPapersDBLP.mtx 8 0.012772
graphs/coPapersDBLP.mtx 16 0.0098161
